,timepoints,X0,Y0,U0,Zx0,Zy0,X1,Y1,U1,Zx1,Zy1,X2,Y2,U2,Zx2,Zy2,X3,Y3,U3,Zx3,Zy3,X4,Y4,U4,Zx4,Zy4,X5,Y5,U5,Zx5,Zy5,X6,Y6,U6,Zx6,Zy6,X7,Y7,U7,Zx7,Zy7,X8,Y8,U8,Zx8,Zy8,X9,Y9,U9,Zx9,Zy9,X10,Y10,U10,Zx10,Zy10,X11,Y11,U11,Zx11,Zy11,X12,Y12,U12,Zx12,Zy12,X13,Y13,U13,Zx13,Zy13,X14,Y14,U14,Zx14,Zy14
169,84.6693386773547,4.0,70.0,6.0,10.0,10.0,0.0,69.0,11.0,10.0,10.0,0.0,74.0,6.0,10.0,10.0,3.0,73.0,4.0,10.0,10.0,64.0,5.0,11.0,10.0,10.0,3.0,66.0,11.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,68.0,4.0,8.0,10.0,10.0,62.0,3.0,15.0,10.0,10.0,5.0,65.0,10.0,10.0,10.0,1.0,73.0,6.0,10.0,10.0,3.0,69.0,8.0,10.0,10.0,70.0,3.0,7.0,10.0,10.0,71.0,3.0,6.0,10.0,10.0,1.0,63.0,16.0,10.0,10.0
170,85.17034068136272,4.0,70.0,6.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,4.0,69.0,7.0,10.0,10.0,66.0,4.0,10.0,10.0,10.0,4.0,61.0,15.0,10.0,10.0,64.0,3.0,13.0,10.0,10.0,61.0,4.0,15.0,10.0,10.0,62.0,4.0,14.0,10.0,10.0,4.0,64.0,12.0,10.0,10.0,0.0,69.0,11.0,10.0,10.0,2.0,69.0,9.0,10.0,10.0,69.0,2.0,9.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,1.0,65.0,14.0,10.0,10.0
171,85.67134268537073,1.0,71.0,8.0,10.0,10.0,0.0,68.0,12.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,3.0,72.0,5.0,10.0,10.0,65.0,2.0,13.0,10.0,10.0,4.0,62.0,14.0,10.0,10.0,67.0,3.0,10.0,10.0,10.0,65.0,2.0,13.0,10.0,10.0,62.0,3.0,15.0,10.0,10.0,4.0,63.0,13.0,10.0,10.0,0.0,74.0,6.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0,69.0,2.0,9.0,10.0,10.0,67.0,2.0,11.0,10.0,10.0,0.0,66.0,14.0,10.0,10.0
172,86.17234468937875,1.0,69.0,10.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,0.0,75.0,5.0,10.0,10.0,2.0,71.0,7.0,10.0,10.0,68.0,1.0,11.0,10.0,10.0,4.0,63.0,13.0,10.0,10.0,63.0,1.0,16.0,10.0,10.0,64.0,1.0,15.0,10.0,10.0,66.0,3.0,11.0,10.0,10.0,7.0,63.0,10.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,69.0,2.0,9.0,10.0,10.0,65.0,2.0,13.0,10.0,10.0,0.0,70.0,10.0,10.0,10.0
173,86.67334669338676,2.0,66.0,12.0,10.0,10.0,2.0,73.0,5.0,10.0,10.0,0.0,71.0,9.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,66.0,1.0,13.0,10.0,10.0,5.0,66.0,9.0,10.0,10.0,66.0,0.0,14.0,10.0,10.0,67.0,1.0,12.0,10.0,10.0,68.0,2.0,10.0,10.0,10.0,7.0,63.0,10.0,10.0,10.0,1.0,73.0,6.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0,71.0,1.0,8.0,10.0,10.0,68.0,1.0,11.0,10.0,10.0,0.0,71.0,9.0,10.0,10.0
174,87.17434869739478,2.0,66.0,12.0,10.0,10.0,1.0,72.0,7.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0,70.0,1.0,9.0,10.0,10.0,4.0,62.0,14.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,69.0,1.0,10.0,10.0,10.0,70.0,2.0,8.0,10.0,10.0,6.0,63.0,11.0,10.0,10.0,3.0,73.0,4.0,10.0,10.0,2.0,70.0,8.0,10.0,10.0,69.0,0.0,11.0,10.0,10.0,72.0,0.0,8.0,10.0,10.0,1.0,70.0,9.0,10.0,10.0
175,87.67535070140279,2.0,64.0,14.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0,0.0,72.0,8.0,10.0,10.0,3.0,67.0,10.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,4.0,64.0,12.0,10.0,10.0,65.0,0.0,15.0,10.0,10.0,68.0,1.0,11.0,10.0,10.0,71.0,2.0,7.0,10.0,10.0,6.0,61.0,13.0,10.0,10.0,1.0,74.0,5.0,10.0,10.0,2.0,71.0,7.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,75.0,0.0,5.0,10.0,10.0,1.0,71.0,8.0,10.0,10.0
176,88.1763527054108,1.0,69.0,10.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,0.0,70.0,10.0,10.0,10.0,3.0,66.0,11.0,10.0,10.0,67.0,1.0,12.0,10.0,10.0,3.0,61.0,16.0,10.0,10.0,66.0,1.0,13.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,70.0,1.0,9.0,10.0,10.0,4.0,63.0,13.0,10.0,10.0,1.0,72.0,7.0,10.0,10.0,4.0,71.0,5.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,77.0,0.0,3.0,10.0,10.0,1.0,69.0,10.0,10.0,10.0
177,88.67735470941882,1.0,73.0,6.0,10.0,10.0,1.0,64.0,15.0,10.0,10.0,0.0,70.0,10.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0,68.0,3.0,9.0,10.0,10.0,2.0,65.0,13.0,10.0,10.0,67.0,1.0,12.0,10.0,10.0,73.0,0.0,7.0,10.0,10.0,71.0,1.0,8.0,10.0,10.0,4.0,64.0,12.0,10.0,10.0,1.0,68.0,11.0,10.0,10.0,2.0,67.0,11.0,10.0,10.0,72.0,0.0,8.0,10.0,10.0,73.0,0.0,7.0,10.0,10.0,1.0,70.0,9.0,10.0,10.0
178,89.17835671342685,1.0,71.0,8.0,10.0,10.0,2.0,63.0,15.0,10.0,10.0,0.0,67.0,13.0,10.0,10.0,1.0,66.0,13.0,10.0,10.0,67.0,4.0,9.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0,66.0,1.0,13.0,10.0,10.0,73.0,0.0,7.0,10.0,10.0,70.0,0.0,10.0,10.0,10.0,3.0,66.0,11.0,10.0,10.0,0.0,73.0,7.0,10.0,10.0,2.0,69.0,9.0,10.0,10.0,72.0,1.0,7.0,10.0,10.0,75.0,0.0,5.0,10.0,10.0,1.0,67.0,12.0,10.0,10.0
